Designator,MidX,MidY,Layer,Rotation
C1,21.986000,18.180600,Bottom,180.000000
C2,40.811000,18.189000,Bottom,180.000000
C3,49.986000,-8.436000,Bottom,180.000000
C4,44.486000,17.589000,Bottom,90.000000
C5,35.873000,18.214000,Bottom,180.000000
C6,38.379000,4.966000,Bottom,0.000000
C7,25.907000,18.180600,Bottom,0.000000
C8,15.128000,13.888000,Bottom,270.000000
C9,29.313000,6.849000,Bottom,90.000000
C10,29.910800,17.647200,Bottom,270.000000
C11,31.993600,17.672600,Bottom,270.000000
C12,29.987000,11.271800,Bottom,90.000000
C13,3.736000,6.814000,Bottom,180.000000
C14,10.486000,-2.248500,Bottom,270.000000
C15,37.353000,-0.590000,Bottom,90.000000
C16,10.486000,-6.373500,Bottom,270.000000
C17,37.302200,-4.841200,Bottom,270.000000
G***,48.186000,4.114000,Bottom,180.000000
J2,5.222000,14.605000,Bottom,270.000000
J3,63.433000,4.099000,Bottom,270.000000
LED1,49.543000,17.283980,Bottom,270.000000
LED2,46.813000,17.283980,Bottom,270.000000
Q1,0.736000,-0.686000,Bottom,180.000000
Q2,5.542800,-0.686000,Bottom,0.000000
Q3,0.751600,3.863000,Bottom,0.000000
R1,18.242000,18.206000,Bottom,180.000000
R2,50.180000,13.888000,Bottom,0.000000
R3,46.243000,13.899000,Bottom,0.000000
R4,2.729000,8.940000,Bottom,180.000000
R5,6.875000,8.921000,Bottom,180.000000
R6,10.986000,9.501500,Bottom,90.000000
R7,34.609800,-4.866600,Bottom,270.000000
R9,61.737000,11.475000,Bottom,180.000000
R10,58.374000,11.475000,Bottom,0.000000
U1,37.793000,12.037000,Bottom,0.000000
U2,22.413000,11.253000,Bottom,180.000000
X9,7.736000,4.064000,Bottom,0.000000
X10,65.736000,-9.436000,Bottom,0.000000
X11,65.736000,17.564000,Bottom,0.000000
Y1,30.980000,14.497600,Bottom,180.000000
G***,3.306000,0.614000,Top,0.000000
S1,22.473000,4.534000,Top,0.000000
X2,-16.336949,6.917170,Top,0.000000
X3,-19.691051,5.827356,Top,0.000000
X4,-16.336949,1.210830,Top,0.000000
X6,-19.691051,2.300644,Top,0.000000
X7,-12.699000,4.111000,Top,0.000000
